STUDY SYSTEM,,,,,,,,,,,,,,ENVIRONMENTAL CHANGE CATEGORIES,,,,,CONFLICT OUTCOMES,,,,,HUMAN PATHWAYS,,,,,WILDLIFE PATHWAYS,,,,
Source,Title,Year,Lat,Lon,Country,Continent,System,Focal Species or Taxon,Focal Order,Focal Family,Taxonomy,"Essential Climate Variable
(Primary)",Type of Climate Change,Resource Abundance,Resource Distribution,Resource Phenology,Community Composition/Other,NA/none Identified,Wildlife Injury / Mortality,Human Injury / Mortality,Property Damage / Nuisance,Revenue Loss,Loss of Food Production,Spatial  - Human,Temporal - Human,Behavioral - Human,Demographic - Human,None identified - Human,Spatial ,Temporal ,Behavioral,Demographic,"None identified
(Wildlife)"
Lee et al. 2004,"Kangaroo-vehicle collisions in Australia's sheep rangelands, during and following drought periods",2004,-31.08333333,141.7166667,AU,Australia,Terrestrial,red kangaroos (Macropus rufus) and common wallaroos (Macropus robustus erubescens),Diprotodontia,Macropodidae,Mammal,precipitation,acute event,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Khorozyan et al. 2015,Big cats kill more livestock when wild prey reaches a minimum threshold,2015,37.39431655,55.80459851,IR,Asia,Terrestrial,leopards,Carnivora,Felidae,Mammal,temperature,interannual variation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Acosta-Jamett et al. 2016,El Nino Southern Oscillation drives conflict between wild carnivores and livestock farmers in a semiarid area in Chile,2016,-30.65444322,-71.68560901,CL,South America,Terrestrial,"foxes (mainly culpeo, also chilla)",Carnivora,Canidae,Mammal,precipitation,interannual variation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Aryal et al. 2014 Theo. Appl. Clim.,Impact of climate change on human-wildlife-ecosystem interactions in the Trans-Himalaya region of Nepal,2014,29.07417143,83.91751032,NP,Asia,Terrestrial,blue sheep,Artiodactyla,Bovidae,Mammal,temperature,long-term change,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Aryal et al. 2014 Theo. Appl. Clim.,Impact of climate change on human-wildlife-ecosystem interactions in the Trans-Himalaya region of Nepal,2014,29.19567266,83.86510857,NP,Asia,Terrestrial,snow leopard,Carnivora,Felidae,Mammal,temperature,long-term change,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Bal et al. 2011,"Elephants Also Like Coffee: Trends and Drivers of Human–Elephant Conflicts in Coffee Agroforestry Landscapes of Kodagu, Western Ghats, India",2011,12.31136724,75.79043352,IN,Asia,Terrestrial,Asian elephants,Proboscidea,Elephantidae,Mammal,precipitation,interannual variation,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Bhatt et al. 2018,Biodiversity and climate change: an Indian persepective,2018,22.48399814,79.27456901,IN,Asia,Terrestrial,elephant,Proboscidea,Elephantidae,Mammal,precipitation,acute event,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Branco et al. 2019,Determinants of elephant foraging behaviour in a coupled human-natural system: Is brown the new green?,2019,-18.84406376,34.50332003,MZ,Africa,Terrestrial,elephants,Proboscidea,Elephantidae,Mammal,precipitation,interannual variation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Carpenter 2021,Exploring the impact of climate change on the future of community-based wildlife conservation,2021,-22.54187679,17.06230001,NA,Africa,Terrestrial,multiple,Mixed Groups,Mixed Groups,Mammal,precipitation,acute event,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Chapman & McPhee 2016,Global shark attack hotspots: Identifying underlying factors behind increased unprovoked shark bite incidence,2016,-34.14102757,24.12358184,ZA,Africa,Marine,white  sharks,Lamniformes,Lamnidae,Fish,temperature,acute event,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
